vd_salePhone,vd_serviceCode,vd_dealerName,vd_longitude,vd_address,vd_latitude,vc_name,vd_url,vd_dealerCode,vd_dealerType,vd_city,vd_province,vd_postCode,vd_fax,vp_name,vd_id
0772-3019688,,柳州鑫广达博腾汽车销售服务有限公司,109.442877,柳州市城中区双拥大道河东村第三产业B地块,24.377483,柳州,,S745020,1,26,4,545006,,G 广西,84
0772-3122019 ,,柳州市盛铭汽车贸易有限公司,109.44469,广西柳州市燎原路7号,24.29297,柳州,,S745002,1,26,4,545006,,G 广西,147
0775-2296888,,玉林市弘标汽车销售服务有限公司,110.181440,玉林市教育东路31号,22.658863,玉林,,S745016,1,223,4,537000,,G 广西,476
0775-4553318,,贵港市弘捷汽车销售服务有限公司,109.610326,贵港市金港大道834号（石油大厦对面）,23.111701,贵港,,S745019,1,302,4,537100,,G 广西,755
0778-2211888,,河池市弘捷汽车销售服务有限公司,108.074565,河池市南环路温洞隧道口东侧,24.677577,河池,,S745018,1,304,4,547000,,G 广西,757
0777-2851555,,钦州弘捷汽车销售服务有限公司,108.643228,广西钦州市安州大道东面、市三中东面钦州弘捷一汽大众4s店销售展厅,21.947525,钦州,,S245001,1,326,4,,,G 广西,831
0776-2382888,,百色鑫广达长久汽车销售服务有限公司,106.673626,广西百色市右江区进城大道与东环路交汇处,23.862062,百色,,S745023,1,366,4,,,G 广西,1033
0779-2071666,,北海鑫广达博鑫汽车销售服务有限公司,109.119136,广西北海市云南路与江苏路交汇处,21.439732,北海,,S745022,1,368,4,,,G 广西,1039
0931-8342888,,兰州金岛汽车销售有限公司,103.854545,兰州市城关区北滨河东路88号,36.074810,兰州,,S762002,1,13,2,730000,,G 甘肃,155
0931-2510188,,兰州庞大一众汽车销售服务有限公司,103.692868,甘肃省兰州市七里河区南滨河西路天缘建材市场向西200米,36.096438,兰州,,S762008,1,13,2,730050,,G 甘肃,423
0931-7718888,,兰州新纪元汽车销售服务有限公司,103.640687,兰州市安宁区北滨河西路88号（安宁）国际汽车城,36.143939,兰州,,S762012,1,13,2,730070,,G 甘肃,709
0931-8366644,,兰州金盛强汽车销售有限公司,103.822254,兰州市皋兰县忠合镇大砂沟,36.144333,兰州,,S762013,1,13,2,730030,,G 甘肃,745
0937-6391689,,甘肃友好汽车服务有限责任公司,98.321271,嘉峪关市体育大道东2458号,39.784308,嘉峪关,,S762006,1,14,2,735100,,G 甘肃,156
0943-8308555,,白银庞大一众汽车销售服务有限公司,104.173980,甘肃省白银市白银区王岘西路37号,36.539079,白银,,S762009,1,264,2,730900,,G 甘肃,445
0935-8337766,,金昌赛亚汇通汽车销售服务有限公司,102.242634,金昌市经济技术开发区泰安路南侧,38.534134,金昌,,S262001,1,333,2,,,G 甘肃,866
0937-2609988,,酒泉金岛汽车销售服务有限公司,98.428828,酒泉市高新技术工业园区（西园）,39.769301,酒泉,,S762015,1,336,2,,,G 甘肃,876
0933-8555111,,平凉润之杰汽车销售服务有限公司,106.635907,甘肃省平凉市崆峒区八里桥以西国道312线南侧,35.572747,平凉,,S762016,1,345,2,,,G 甘肃,913
 0935-2352288,,武威赛亚汇众汽车销售服务有限公司,102.690756,甘肃省武威市凉州区武威工业园区（天马大道与金山南路十字西南角） ,37.889072,武威,,S762018,1,356,2,,,G 甘肃,995
